#[ms],[Ch: 1],[Ch: 2]
23300,1.082185, 6.722014E-05 
34210,1.086279, 7.203341E-05 
48160,1.082143, 6.915745E-05 
58810,1.083079, 6.993449E-05 
65540,1.080269, 7.013213E-05 
79490,1.078579, 6.944004E-05 
89600,1.079648, 6.911788E-05 
98760,1.0749, 7.129361E-05 
105070,1.072619, 6.812502E-05 
112350,1.076012, 7.263997E-05 
116610,1.076194, 7.138930E-05 
130190,1.071652, 7.052956E-05 
147410,1.072022, 6.915274E-05 
152770,1.072156, 7.073103E-05 
172350,1.075329, 6.759796E-05 
179050,1.077322, 6.715582E-05 
186280,1.07765, 6.824121E-05 
192880,1.082565, 7.180202E-05 
198230,1.084543, 7.169192E-05 
205310,1.083506, 7.237590E-05 
211360,1.086921, 7.091155E-05 
217540,1.089776, 7.099245E-05 
225600,1.094082, 7.054756E-05 
279610,1.105749, 6.615620E-05 
289290,1.103957, 6.737081E-05 
297940,1.105271, 6.664625E-05 
305950,1.10436, 6.578863E-05 
312810,1.102266, 6.711732E-05 
324290,1.0953, 6.606227E-05 
333070,1.100128, 6.599230E-05 
358190,1.095035, 6.598738E-05 
366440,1.087644, 6.698741E-05 
375020,1.082534, 6.708506E-05 
387430,1.091516, 6.516713E-05 
399980,1.08188, 6.629867E-05 
414340,1.087507, 6.644670E-05 
436420,1.08385, 6.527570E-05 
445070,1.070249, 6.692362E-05 
465170,1.084329, 6.678683E-05 
473380,1.065842, 6.575079E-05 
497750,1.072065, 6.778805E-05 
509010,1.08041, 6.684164E-05 
521940,1.083154, 6.676993E-05 
529890,1.074648, 6.768032E-05 
543400,1.084945, 6.513078E-05 
555110,1.08076, 6.720677E-05 
563790,1.079224, 6.765701E-05 
570950,1.089935, 6.697072E-05 
572020,1.088817, 7.202494E-05 
581630,1.072137, 6.644685E-05 
591530,1.077222, 6.549698E-05 
606610,1.084804, 8.093021E-05 
621360,1.084829, 6.838285E-05 
632290,1.098524, 7.378059E-05 
642700,1.090449, 6.762555E-05 
658110,1.098863, 7.506332E-05 
688270,1.086898, 6.775340E-05 
716920,1.080709, 6.728542E-05 
732530,1.100116, 8.085529E-05 
783230,1.083382, 7.017900E-05 
797330,1.082641, 7.551252E-05 
814170,1.087016, 6.668661E-05 
2793183,1.09089, 1.981688E-04 
